Datetime,complexity_raw,complexity_regress,accumulative_raw,accumulative_regress,time_delta_days
2013-08-16 16:12:03+00:00,914.5,918.3318592990659,356059.4600000009,355996.1264247096,799.972037037037
2013-08-17 10:54:27+00:00,914.5,918.6631677327878,356973.9600000009,356914.7895924424,800.7514814814815
2013-08-18 10:40:33+00:00,914.5,918.9944761665097,357888.4600000009,357833.7840686089,801.7418287037037
2013-08-19 13:33:48+00:00,914.5,919.3257846002316,358802.9600000009,358753.1098532091,802.8621412037037
2013-08-20 00:42:02+00:00,914.5,919.6570930339534,359717.4600000009,359672.76694624306,803.3261921296296
2013-08-21 08:56:28+00:00,914.5,919.9884014676753,360631.9600000009,360592.75534771074,804.6695486111112
2013-08-23 12:01:01+00:00,916.36,920.3197099013972,361548.3200000009,361513.07505761215,806.7977083333334
2013-08-26 09:18:21+00:00,916.36,920.6510183351191,362464.68000000087,362433.7260759473,809.6847453703704
2013-08-28 09:49:16+00:00,918.84,920.9823267688411,363383.5200000009,363354.70840271615,811.7062152777778
2013-08-29 04:32:07+00:00,918.84,921.3136352025629,364302.3600000009,364276.02203791874,812.4859722222222
2013-08-30 22:45:04+00:00,919.77,921.6449436362848,365222.13000000094,365197.666981555,814.2449652777777
2013-09-03 09:09:22+00:00,916.36,921.9762520700067,366138.4900000009,366119.643233625,817.6785069444444
2013-09-04 00:51:48+00:00,916.36,922.3075605037286,367054.8500000009,367041.9507941287,818.332974537037
2013-09-06 09:18:22+00:00,922.53,922.6388689374505,367977.38000000094,367964.58966306614,820.6847569444444
2013-09-08 10:22:15+00:00,916.36,922.9701773711724,368893.7400000009,368887.5598404373,822.7291203703704
2013-09-09 09:07:12+00:00,922.53,923.3014858048944,369816.27000000095,369810.8613262422,823.6770023148148
2013-09-13 10:51:47+00:00,918.22,923.6327942386163,370734.4900000009,370734.49412048084,827.7496296296297
2013-09-15 06:06:13+00:00,916.36,923.9641026723382,371650.8500000009,371658.4582231532,829.5513194444444
2013-09-17 00:24:52+00:00,916.98,924.29541110606,372567.8300000009,372582.7536342593,831.3142708333334
2013-09-21 13:36:38+00:00,918.22,924.6267195397819,373486.05000000086,373507.3803537991,835.8641087962963
2013-09-30 21:51:40+00:00,916.36,924.9580279735038,374402.41000000085,374432.33838177257,845.2078819444445
2013-10-02 00:12:14+00:00,916.36,925.2893364072257,375318.77000000083,375357.6277181798,846.3054976851852
2013-10-03 06:21:07+00:00,916.36,925.6206448409476,376235.1300000008,376283.2483630207,847.5616666666666
2013-10-04 11:01:06+00:00,916.36,925.9519532746694,377151.4900000008,377209.2003162954,848.756099537037
2013-10-08 13:47:04+00:00,922.53,926.2832617083914,378074.02000000083,378135.48357800377,852.8713541666667
2013-10-09 00:43:11+00:00,916.36,926.6145701421133,378990.3800000008,379062.0981481459,853.3269907407407
