Datetime,complexity_raw,complexity_regress,accumulative_raw,accumulative_regress,time_delta_days
2017-12-14 04:13:28+00:00,1990.47,1717.2306969733443,873879.5800000002,877350.9530595564,1226.4009606481482
2017-12-15 06:14:54+00:00,1990.47,1719.118187861574,875870.0500000002,879070.071247418,1227.4852893518519
2017-12-16 10:14:34+00:00,1894.8,1721.0056787498033,877764.8500000002,880791.0769261677,1228.6517245370371
2017-12-17 07:06:08+00:00,1989.18,1722.8931696380332,879754.0300000003,882513.9700958057,1229.5208680555556
2017-12-18 06:10:42+00:00,1894.8,1724.7806605262626,881648.8300000003,884238.750756332,1230.4823726851853
2017-12-19 07:23:05+00:00,1989.18,1726.6681514144923,883638.0100000004,885965.4189077464,1231.5326388888889
2017-12-22 15:53:53+00:00,1896.0,1728.555642302722,885534.0100000004,887693.9745500492,1234.8873611111112
2017-12-23 10:27:32+00:00,1896.0,1730.4431331909514,887430.0100000004,889424.4176832401,1235.6607291666667
2017-12-27 16:02:06+00:00,1942.08,1732.3306240791812,889372.0900000003,891156.7483073194,1239.8930671296296
2017-12-28 09:44:07+00:00,1942.08,1734.2181149674107,891314.1700000003,892890.9664222868,1240.6305787037038
2017-12-29 07:40:57+00:00,1896.0,1736.1056058556403,893210.1700000003,894627.0720281424,1241.5450462962963
2017-12-31 15:21:57+00:00,1989.18,1737.99309674387,895199.3500000003,896365.0651248862,1243.8651851851853
2018-01-01 08:03:09+00:00,1989.18,1739.8805876320994,897188.5300000004,898104.9457125183,1244.560462962963
2018-01-02 08:12:50+00:00,1896.0,1741.768078520329,899084.5300000004,899846.7137910386,1245.5671875
2018-01-04 13:07:24+00:00,1989.18,1743.6555694085587,901073.7100000004,901590.3693604472,1247.7717476851851
2018-01-06 07:45:45+00:00,210.25,1745.543060296788,901283.9600000004,903335.912420744,1249.5483796296296
2018-01-09 07:32:02+00:00,208.8,1747.430551185018,901492.7600000005,905083.342971929,1252.5388541666666
2018-01-14 16:23:22+00:00,1942.08,1749.3180420732474,903434.8400000004,906832.6610140023,1257.9078356481482
2018-01-16 07:22:14+00:00,1892.4,1751.205532961477,905327.2400000005,908583.8665469638,1259.5320486111111
2018-01-19 11:15:55+00:00,1896.0,1753.0930238497067,907223.2400000005,910336.9595708135,1262.6943287037036
2018-01-20 10:33:24+00:00,1896.0,1754.9805147379361,909119.2400000005,912091.9400855514,1263.6648032407406
2018-01-21 07:39:07+00:00,1896.0,1756.8680056261658,911015.2400000005,913848.8080911775,1264.5437731481481
2018-01-24 09:51:56+00:00,1900.8,1758.7554965143954,912916.0400000005,915607.5635876919,1267.6360069444445
2018-01-25 08:17:27+00:00,1900.8,1760.6429874026248,914816.8400000005,917368.2065750945,1268.5703935185186
2018-01-26 17:42:45+00:00,1990.47,1762.5304782908547,916807.3100000005,919130.7370533854,1269.962962962963
2018-01-27 14:17:52+00:00,1899.6,1764.4179691790841,918706.9100000005,920895.1550225645,1270.8206828703703
2018-01-29 14:43:24+00:00,1899.6,1766.3054600673138,920606.5100000005,922661.4604826318,1272.838414351852
2018-02-01 06:09:03+00:00,1900.8,1768.1929509555434,922507.3100000005,924429.6534335874,1275.481226851852
2018-02-02 06:04:08+00:00,1900.8,1770.0804418437729,924408.1100000006,926199.7338754311,1276.4778125
2018-02-09 17:05:41+00:00,1900.8,1771.9679327320025,926308.9100000006,927971.7018081631,1283.9372222222223
2018-02-11 19:24:41+00:00,1900.8,1773.8554236202322,928209.7100000007,929745.5572317833,1286.03375
2018-02-12 13:33:53+00:00,1900.8,1775.7429145084616,930110.5100000007,931521.3001462917,1286.7901388888888
2018-02-13 07:02:35+00:00,1900.8,1777.6304053966915,932011.3100000008,933298.9305516884,1287.5184027777777
2018-02-14 06:52:20+00:00,1900.8,1779.5178962849209,933912.1100000008,935078.4484479734,1288.5112847222222
2018-02-15 07:26:50+00:00,210.25,1781.4053871731505,934122.3600000008,936859.8538351465,1289.5352430555556
2018-02-16 07:04:00+00:00,1943.27,1783.2928780613802,936065.6300000008,938643.1467132079,1290.5193865740741
2018-02-18 07:33:43+00:00,1900.8,1785.1803689496096,937966.4300000009,940428.3270821576,1292.540023148148
2018-02-20 11:28:55+00:00,210.25,1787.0678598378393,938176.6800000009,942215.3949419954,1294.7033564814815
2018-02-21 08:59:05+00:00,1904.4,1788.955350726069,940081.0800000009,944004.3502927214,1295.5993055555555
2018-02-22 13:46:35+00:00,1778.6999999999998,1790.8428416142985,941859.7800000008,945795.1931343357,1296.7989583333333
2018-02-23 08:46:05+00:00,1778.6999999999998,1792.730332502528,943638.4800000008,947587.9234668382,1297.5902777777778
2018-02-26 08:01:09+00:00,1943.27,1794.6178233907576,945581.7500000008,949382.541290229,1300.559074074074
2018-02-28 12:31:21+00:00,1900.8,1796.5053142789873,947482.5500000009,951179.046604508,1302.7467129629629
2018-03-01 14:33:14+00:00,1902.0,1798.392805167217,949384.5500000009,952977.4394096752,1303.8313541666666
2018-03-06 09:49:50+00:00,1783.54,1800.2802960554463,951168.0900000009,954777.7197057307,1308.634548611111
2018-03-08 19:11:31+00:00,1902.0,1802.167786943676,953070.0900000009,956579.8874926744,1311.0246064814814
2018-03-15 17:40:42+00:00,1783.54,1804.0552778319056,954853.6300000009,958383.9427705063,1317.9615393518518
2018-03-23 17:02:48+00:00,1902.0,1805.9427687201353,956755.6300000009,960189.8855392264,1325.9352199074074
2018-03-26 09:36:48+00:00,1902.0,1807.8302596083647,958657.6300000009,961997.7157988347,1328.625497685185
2018-03-30 11:42:31+00:00,1782.3300000000002,1809.7177504965944,960439.9600000009,963807.4335493313,1332.7128009259259
2018-04-02 14:52:22+00:00,1782.3300000000002,1811.605241384824,962222.2900000009,965619.0387907161,1335.8446412037038
