Datetime,complexity_raw,complexity_regress,accumulative_raw,accumulative_regress,time_delta_days
2015-03-17 14:45:58+00:00,516.24,489.651718885088,607769.7500000007,603898.8164154659,1441.1492361111111
2015-03-18 15:51:13+00:00,516.24,489.58014337171966,608285.9900000007,604388.3965588376,1442.194548611111
2015-03-20 00:21:42+00:00,421.46,489.5085678583514,608707.4500000007,604877.905126696,1443.549050925926
2015-03-21 15:33:30+00:00,424.32,489.4369923449831,609131.7700000006,605367.342119041,1445.1822453703703
2015-03-22 10:43:34+00:00,428.75,489.3654168316148,609560.5200000006,605856.7075358726,1445.9809027777778
2015-03-23 00:16:44+00:00,421.25000000000006,489.2938413182465,609981.7700000006,606346.0013771908,1446.5456018518519
2015-03-26 00:30:14+00:00,419.5,489.22226580487825,610401.2700000006,606835.2236429957,1449.554976851852
2015-03-28 13:52:39+00:00,413.0,489.15069029150993,610814.2700000006,607324.3743332872,1452.1122106481482
2015-03-29 11:10:33+00:00,410.25,489.0791147781417,611224.5200000006,607813.4534480653,1452.9996412037037
2015-03-30 00:12:28+00:00,411.00000000000006,489.00753926477336,611635.5200000006,608302.4609873301,1453.5426388888889
2015-03-31 14:06:45+00:00,412.0,488.9359637514051,612047.5200000006,608791.3969510815,1455.1220023148148
2015-04-01 15:43:23+00:00,410.25,488.8643882380368,612457.7700000006,609280.2613393195,1456.1891087962963
2015-04-03 09:22:55+00:00,517.32,488.7928127246685,612975.0900000005,609769.0541520442,1457.9248958333333
2015-04-05 00:30:41+00:00,516.24,488.7212372113002,613491.3300000005,610257.7753892555,1459.5552893518518
2015-04-06 14:35:19+00:00,519.4799999999999,488.64966169793195,614010.8100000005,610746.4250509534,1461.1418402777779
2015-04-08 08:45:34+00:00,519.4799999999999,488.57808618456363,614530.2900000005,611235.003137138,1462.8989583333334
2015-04-15 00:05:09+00:00,409.25,488.5065106711954,614939.5400000005,611723.5096478092,1469.5375578703704
2015-04-16 00:57:41+00:00,410.25,488.43493515782706,615349.7900000005,612211.944582967,1470.5740393518518
2015-04-17 19:59:11+00:00,405.5,488.3633596444588,615755.2900000005,612700.3079426114,1472.3667476851851
2015-04-18 11:08:00+00:00,406.50000000000006,488.2917841310905,616161.7900000005,613188.5997267425,1472.9978703703703
2015-04-19 17:09:38+00:00,516.24,488.2202086177222,616678.0300000005,613676.8199353602,1474.2490046296296
2015-04-20 10:06:38+00:00,440.18,488.14863310435396,617118.2100000005,614164.9685684646,1474.9552546296297
2015-04-21 01:33:07+00:00,519.4799999999999,488.07705759098565,617637.6900000005,614653.0456260556,1475.5986458333334
2015-04-25 11:06:09+00:00,437.32,488.00548207761733,618075.0100000005,615141.0511081332,1479.996585648148
2015-04-26 10:41:32+00:00,440.37,487.93390656424907,618515.3800000005,615628.9850146974,1480.9794907407406
2015-04-27 02:32:43+00:00,519.4799999999999,487.8623310508808,619034.8600000005,616116.8473457483,1481.6400347222223
2015-04-28 10:10:13+00:00,418.32,487.7907555375125,619453.1800000004,616604.6381012858,1482.9577430555555
2015-04-30 00:59:01+00:00,418.32,487.7191800241442,619871.5000000003,617092.3572813099,1484.5749652777777
2015-05-09 19:30:47+00:00,429.49,487.6476045107759,620300.9900000003,617580.0048858207,1494.347025462963
2015-05-12 00:28:14+00:00,435.6,487.57602899740766,620736.5900000003,618067.5809148181,1496.5535879629629
2015-05-13 10:13:10+00:00,434.4,487.50445348403935,621170.9900000003,618555.0853683022,1497.9597916666667
2015-05-14 14:25:25+00:00,434.4,487.4328779706711,621605.3900000004,619042.5182462728,1499.1349652777778
2015-05-18 15:30:41+00:00,415.86,487.36130245730277,622021.2500000003,619529.8795487301,1503.1802893518518
